"cell_type","cell_type.freq.refer","cell_type.freq.pred","cell_type.prop.refer","cell_type.prop.pred"
"CD14 monocyte",1014,1029,0.29876252209782,0.317985166872682
"CD14/CD16 monocyte",38,26,0.0111962286387743,0.00803461063040791
"CD16 monocyte",164,0,0.0483205657041839,0
"CD16 NK cell",66,65,0.0194460813199764,0.0200865265760198
"Gamma delta T cell",310,303,0.0913376546847378,0.0936341161928307
"GZMB CD8 T cell",183,168,0.053918680023571,0.0519159456118665
"GZMK CD8 T cell",92,96,0.0271066588096641,0.0296662546353523
"Memory CD4 T cell",898,946,0.264584560989982,0.292336217552534
"Naive CD4 T cell",499,505,0.147024160282852,0.156056860321384
"Treg cell",130,98,0.0383028874484384,0.0302843016069221
